"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2010Q1","Under 1 year","Total deaths (A00-Y89)","Number","62"
"Deaths Registered","2010Q1","Under 1 year","Infectious and parasitic diseases (A00-B99)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Neoplasms (C00-D48)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Malignant neoplasms (C00-C97)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","1"
"Deaths Registered","2010Q1","Under 1 year","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the nervous system and the sense organs (G00-H95)","Number","2"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the Circulatory System (I00-I99)","Number","1"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the Respiratory system (J00-J99)","Number","2"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Diseases of the genitourinary system (N00-N99)","Number","2"
"Deaths Registered","2010Q1","Under 1 year","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","Under 1 year","Certain conditions originating in the perinatal period (P00-P96)","Number","29"
"Deaths Registered","2010Q1","Under 1 year","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","23"
"Deaths Registered","2010Q1","Under 1 year","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2010Q1","Under 1 year","External causes of injury and poisoning (V01-Y89)","Number","1"
"Deaths Registered","2010Q1","Under 1 year","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","Under 1 year","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
